RBP	SRA	TxCount	RNAse	Reads	T2Cfraction	RedundantSeqFraction	RedundantCopyFraction	UniqueReads	ConversionSpecificity	QC	Name
LIN28A	SRR764666	1243	T1	439739	0.720445416894213	0.820014103071547	0.960291628908642	53.85302135393	0.714719374449633	pass	LIN28A_SRR764666
LIN28B	SRR764667	1310	T1	106711	0.761966167125919	0.268508595688731	0.42986535262581	9.63821490467938	0.6564539180683	pass	LIN28B_SRR764667
LIN28B	SRR764668	2261	T1	307724	0.803747348114149	0.442520151758015	0.635745639024282	6.7856469637808	0.756933076344448	pass	LIN28B_SRR764668
LIN28B	SRR850552	1693	T1	271014	0.669641243753922	0.525852087364035	0.719364031753926	7.37871287128713	0.301600222366488	pass	LIN28B_SRR850552
MBNL1	MBNL1	851	T1	225431	0.938953736213873	0.887638862789607	0.967478558305176	5.33010330743974	1.06213357336248	pass	MBNL1_MBNL1
MOV10	SRR490650	4972	T1	2013290	0.865765940723478	0.770209108277334	0.909311804286458	6.96214623436402	0.926139878344606	pass	MOV10_SRR490650
MOV10	SRR921441	6100	T1	7313625	0.613212665246235	0.457924602798491	0.666754665509011	15.4534355918746	0.761425162263533	pass	MOV10_SRR921441
MOV10	SRR921442	6114	T1	7302643	0.600208483644602	0.171641263418165	0.307327427656449	17.6551950566565	0.647348507448123	pass	MOV10_SRR921442
NCBP3	SRR500481	1013	T1	99561	0.748985119053573	0.838836587673733	0.967098087226301	18.7641764176418	0.844894919603133	pass	NCBP3_SRR500481
NOP56	SRR651724	898	T1	724367	0.713165889291718	0.544133868057017	0.743014477608202	24.1536155863619	0.533453426749103	pass	NOP56_SRR651724
NOP58	SRR651722	3149	T1	629566	0.78705868811352	0.297856404847723	0.477964593814257	23.3849602151743	0.703995200877702	pass	NOP58_SRR651722
NOP58	SRR651723	2743	T1	426903	0.79987216717726	0.283029427904229	0.464498503896155	28.4069025522042	0.716348792271973	pass	NOP58_SRR651723
NUDT21	SRR488725	4927	T1	1119459	0.847063915501712	0.840726100277867	0.957978681226848	5.15777306877288	1.00813405839587	pass	NUDT21_SRR488725
